"LDP" "NFP" "SKG" "JCP" "gender" "education" "age"
80 75 80 0 "male" 1 75
75 80 50 20 "female" 1 64
100 25 100 0 "male" 2 56
75 50 25 50 "male" 2 52
75 50 50 0 "male" 4 52
50 75 50 50 "female" 3 31
25 50 25 0 "male" 1 64
25 25 50 0 "male" 2 46
50 50 50 50 "male" 1 70
60 90 10 10 "male" 4 50
70 25 0 0 "male" 1 62
75 50 25 25 "female" 2 41
50 50 25 25 "male" 1 74
75 0 100 25 "male" 4 46
75 100 50 0 "female" 4 29
50 50 75 75 "female" 2 66
50 40 40 40 "male" 2 68
25 50 60 60 "male" 4 23
50 40 25 25 "male" 3 70
75 25 50 25 "female" 2 53
75 40 25 10 "male" 2 65
50 25 50 25 "male" 2 65
50 30 30 70 "male" 2 45
90 0 50 30 "male" 4 53
50 25 0 50 "male" 2 51
70 20 50 80 "male" 2 51
50 50 50 10 "male" 3 71
75 0 20 10 "female" 4 52
50 25 25 0 "male" 3 76
80 25 25 0 "male" 4 48
70 70 25 25 "male" 2 64
50 25 25 0 "male" 4 72
50 30 25 50 "female" 2 67
50 25 50 50 "female" 3 50
80 50 40 0 "male" 3 74
50 100 25 0 "male" 2 68
40 80 50 50 "male" 1 63
25 80 40 20 "female" 2 26
50 100 0 0 "female" 3 48
60 60 70 30 "female" 2 68
80 70 90 80 "male" 1 63
50 90 30 50 "male" 2 69
50 50 30 20 "female" 2 50
75 50 50 25 "female" 3 52
50 75 25 50 "male" 3 53
25 75 75 0 "male" 4 47
75 75 25 0 "male" 1 68
25 75 0 0 "male" 2 48
40 80 30 0 "female" 2 46
50 75 75 25 "female" 2 29
75 50 50 25 "male" 4 56
80 80 50 40 "female" 2 84
50 100 50 25 "male" 1 74
50 25 50 25 "female" 2 43
75 25 75 25 "male" 4 66
50 75 50 75 "male" 2 56
50 25 75 50 "male" 3 61
70 30 50 70 "male" 4 42
0 25 75 50 "male" 4 35
10 80 10 0 "female" 3 44
50 50 10 0 "male" 2 36
100 60 30 30 "male" 2 57
40 40 60 0 "male" 4 46
50 40 25 70 "male" 2 27
75 50 50 0 "male" 1 71
50 30 60 25 "male" 4 61
50 10 65 70 "male" 3 45
60 10 30 0 "male" 1 73
50 50 75 25 "female" 3 81
50 30 30 30 "female" 2 63
50 25 50 30 "male" 4 59
90 60 60 40 "male" 4 41
75 25 25 0 "male" 2 57
50 75 50 40 "female" 2 61
50 10 10 0 "female" 2 67
100 50 0 0 "male" 2 51
25 75 25 25 "female" 3 60
50 50 50 50 "male" 2 62
75 50 25 50 "male" 2 44
50 25 50 25 "female" 2 48
50 75 25 25 "male" 2 44
50 25 25 20 "male" 2 52
70 60 50 30 "male" 4 60
50 75 50 30 "male" 3 65
50 40 40 30 "male" 1 58
50 40 50 30 "male" 1 56
0 0 0 100 "male" 1 58
75 50 50 25 "male" 2 48
50 50 80 50 "female" 3 69
50 50 50 0 "male" 2 54
50 75 50 25 "male" 1 67
50 75 75 25 "female" 3 53
25 25 50 75 "male" 2 54
90 40 20 0 "male" 2 70
75 100 25 0 "male" 2 66
50 50 50 30 "male" 1 72
50 75 25 25 "male" 3 31
75 75 25 0 "female" 3 60
75 25 50 50 "male" 2 60
50 50 75 25 "male" 2 58
75 50 50 0 "female" 1 73
75 25 0 0 "male" 2 37
50 75 100 0 "female" 2 59
15 15 30 10 "male" 4 28
50 75 0 0 "male" 3 64
75 75 95 25 "male" 4 39
75 25 75 0 "male" 3 60
50 25 50 25 "male" 1 75
25 100 0 0 "male" 1 76
50 50 50 50 "female" 2 38
50 10 50 100 "male" 1 65
40 40 10 15 "male" 1 80
50 50 50 25 "male" 4 62
50 75 25 25 "male" 4 67
70 70 50 50 "male" 2 34
80 90 40 0 "male" 4 54
60 60 20 20 "male" 1 70
75 50 25 25 "male" 1 73
25 0 50 100 "male" 4 61
100 75 75 0 "male" 2 46
100 25 50 0 "male" 1 57
10 100 10 0 "female" 2 37
75 50 40 40 "male" 1 75
